"date"	"target"	"forecasts"
"2020-03-03"	1	0
"2020-03-04"	0	0
"2020-03-05"	0	0
"2020-03-06"	1	0
"2020-03-07"	6	0
"2020-03-08"	4	0
"2020-03-09"	0	0
"2020-03-10"	5	0
"2020-03-11"	2	0
"2020-03-12"	0	0
"2020-03-13"	12	0
"2020-03-14"	3	0
"2020-03-15"	11	0
"2020-03-16"	11	0
"2020-03-17"	12	0
"2020-03-18"	11	0
"2020-03-19"	18	0
"2020-03-20"	31	0
"2020-03-21"	30	0
"2020-03-22"	108	0
"2020-03-23"	35	0
"2020-03-24"	86	0
"2020-03-25"	0	0
"2020-03-26"	115	1
"2020-03-27"	87	1
"2020-03-28"	101	2
"2020-03-29"	55	2
"2020-03-30"	75	4
"2020-03-31"	234	5
"2020-04-01"	0	8
"2020-04-02"	79	12
"2020-04-03"	132	17
"2020-04-04"	186	24
"2020-04-05"	0	33
"2020-04-06"	103	45
"2020-04-07"	74	61
"2020-04-08"	87	82
"2020-04-09"	80	108
"2020-04-10"	180	141
"2020-04-11"	0	182
"2020-04-12"	167	232
"2020-04-13"	66	293
"2020-04-14"	69	366
"2020-04-15"	166	453
"2020-04-16"	128	556
"2020-04-17"	98	676
"2020-04-18"	89	815
"2020-04-19"	81	975
"2020-04-20"	102	1155
"2020-04-21"	90	1359
"2020-04-22"	113	1586
"2020-04-23"	291	1838
"2020-04-24"	172	2113
"2020-04-25"	173	2414
"2020-04-26"	112	2737
"2020-04-27"	111	3084
"2020-04-28"	124	3451
"2020-04-29"	158	3838
"2020-04-30"	143	4241
"2020-05-01"	104	4659
"2020-05-02"	149	5087
"2020-05-03"	102	5523
"2020-05-04"	104	5962
"2020-05-05"	133	6401
"2020-05-06"	188	6835
"2020-05-07"	163	7259
"2020-05-08"	240	7670
"2020-05-09"	165	8063
"2020-05-10"	258	8434
"2020-05-11"	244	8780
"2020-05-12"	285	9095
"2020-05-13"	316	9378
"2020-05-14"	255	9625
"2020-05-15"	345	9834
"2020-05-16"	326	10004
"2020-05-17"	263	10132
"2020-05-18"	303	10218
"2020-05-19"	438	10262
"2020-05-20"	474	10264
"2020-05-21"	648	10226
"2020-05-22"	718	10148
"2020-05-23"	704	10033
"2020-05-24"	723	9884
"2020-05-25"	552	9703
"2020-05-26"	600	9493
"2020-05-27"	705	9260
"2020-05-28"	769	9005
"2020-05-29"	717	8735
"2020-05-30"	795	8453
"2020-05-31"	637	8165
"2020-06-01"	564	7874
"2020-06-02"	904	7585
"2020-06-03"	949	7303
"2020-06-04"	929	7031
"2020-06-05"	840	6775
"2020-06-06"	983	6537
"2020-06-07"	774	6320
"2020-06-08"	826	6128
"2020-06-09"	1141	5961
"2020-06-10"	1226	5823
"2020-06-11"	1386	5714
"2020-06-12"	1391	5633
"2020-06-13"	1531	5582
"2020-06-14"	1282	5560
"2020-06-15"	1208	5565
"2020-06-16"	1374	5596
"2020-06-17"	1393	5651
"2020-06-18"	1958	5728
"2020-06-19"	2060	5824
"2020-06-20"	1634	5938
"2020-06-21"	1581	6067
"2020-06-22"	2146	6208
"2020-06-23"	2272	6358
"2020-06-24"	2648	6517
"2020-06-25"	2606	6680
"2020-06-26"	2886	6847
"2020-06-27"	2401	7015
"2020-06-28"	2189	7183
"2020-06-29"	2335	7349
"2020-06-30"	2262	7512
"2020-07-01"	2667	7671
"2020-07-02"	2744	7823
"2020-07-03"	2845	7969
"2020-07-04"	2590	8107
"2020-07-05"	2439	8236
"2020-07-06"	2632	8355
"2020-07-07"	2979	8464
"2020-07-08"	3604	8561
"2020-07-09"	3663	8647
"2020-07-10"	3367	8720
"2020-07-11"	3449	8780
"2020-07-12"	2657	8828
"2020-07-13"	3099	8862
"2020-07-14"	3645	8884
"2020-07-15"	4236	8893
"2020-07-16"	3637	8889
"2020-07-17"	4518	8875
"2020-07-18"	3223	8850
"2020-07-19"	4231	8817
"2020-07-20"	4019	8775
"2020-07-21"	5344	8727
"2020-07-22"	5782	8675
"2020-07-23"	6127	8621
"2020-07-24"	5493	8566
"2020-07-25"	4814	8512
"2020-07-26"	4192	8461
"2020-07-27"	4890	8416
"2020-07-28"	5939	8378
"2020-07-29"	5641	8350
"2020-07-30"	6377	8331
"2020-07-31"	5929	8325
