"date";"target"
"2020-02-26";"1"
"2020-02-27";"0"
"2020-02-28";"0"
"2020-02-29";"1"
"2020-03-01";"0"
"2020-03-02";"0"
"2020-03-03";"0"
"2020-03-04";"1"
"2020-03-05";"3"
"2020-03-06";"4"
"2020-03-07";"3"
"2020-03-08";"3"
"2020-03-09";"0"
"2020-03-10";"3"
"2020-03-11";"11"
"2020-03-12";"12"
"2020-03-13";"14"
"2020-03-14";"9"
"2020-03-15";"71"
"2020-03-16";"16"
"2020-03-17";"12"
"2020-03-18";"76"
"2020-03-19";"46"
"2020-03-20";"110"
"2020-03-21";"63"
"2020-03-22";"172"
"2020-03-23";"114"
"2020-03-24";"65"
"2020-03-25";"52"
"2020-03-26";"190"
"2020-03-27";"171"
"2020-03-28";"183"
"2020-03-29";"45"
"2020-03-30";"66"
"2020-03-31";"822"
"2020-04-01";"642"
"2020-04-02";"525"
"2020-04-03";"542"
"2020-04-04";"418"
"2020-04-05";"154"
"2020-04-06";"246"
"2020-04-07";"816"
"2020-04-08";"1026"
"2020-04-09";"772"
"2020-04-10";"736"
"2020-04-11";"203"
"2020-04-12";"336"
"2020-04-13";"140"
"2020-04-14";"476"
"2020-04-15";"1672"
"2020-04-16";"525"
"2020-04-17";"1273"
"2020-04-18";"1053"
"2020-04-19";"373"
